Event Root Code	Year	Avg. Avg Tone	Num Articles
10	2009	5.098626555	11,733
03	2001	5.099034447	19,556
20	2008	5.100001042	47
02	2012	5.102186990	86,061
06	1999	5.105906415	4,605
03	2012	5.111967998	74,792
16	1990	5.112460785	156
06	2009	5.116023627	20,776
07	1989	5.118175383	120
12	1985	5.125902001	100
12	1995	5.127023956	1,148
16	1995	5.129718572	466
02	2001	5.130761918	19,888
14	1984	5.131230364	37
08	2009	5.134817630	23,403
02	1997	5.135802526	7,516
04	2008	5.140600753	73,660
03	2003	5.143019396	18,359
08	2005	5.146266203	7,274
07	1979	5.164644379	200
04	2010	5.165926014	245,704
11	1996	5.168876678	9,051
04	2009	5.172318759	185,628
12	1998	5.175370848	8,656
03	1998	5.179350208	19,742
07	2004	5.184820723	4,326
04	2006	5.184863889	24,598
15	1984	5.190437933	53
08	2011	5.196376651	40,799
02	1983	5.202218083	483
03	1979	5.202553550	604
20	2012	5.203194752	111
02	2004	5.203789299	12,193
02	1987	5.208132240	502
02	1998	5.211228063	26,861
16	1989	5.212018464	61
03	2002	5.216111025	14,392
08	1999	5.217636185	17,410
04	1996	5.220927497	33,147
12	1988	5.225141725	224
10	2008	5.230022760	5,751
06	2006	5.235262467	2,401
07	2006	5.249706974	5,708
07	1985	5.255959809	195
07	2012	5.257662359	51,297
02	2008	5.258960659	24,541
12	1997	5.259222854	3,011
02	1996	5.265133049	6,123
08	1998	5.269815224	14,673
02	1985	5.272516827	549
12	1996	5.277442043	3,416
07	2007	5.280024746	11,066
12	1981	5.280107688	63
07	1998	5.282310083	6,995
02	2006	5.284144090	7,974
02	2009	5.284161228	64,796
03	2008	5.287107374	19,912
03	2005	5.299435893	13,784
10	1991	5.303444355	252
11	1980	5.312289466	85
04	2011	5.316301238	297,198
02	1999	5.338309656	30,147
13	1981	5.338430891	70
20	2004	5.353229782	35
03	2007	5.357597257	22,616
02	2007	5.362714741	22,676
12	1999	5.363941510	17,274
08	1986	5.377839370	110
07	2008	5.390932171	13,228
02	2005	5.393519294	11,168
02	2011	5.402923788	89,180
08	1996	5.408597590	2,956
07	2009	5.409150616	48,802
02	1982	5.411511221	393
08	2006	5.414854576	4,115
02	2010	5.418025145	68,813
07	1991	5.419039715	358
03	1996	5.428066007	8,807
03	2010	5.442518969	66,901
16	1996	5.466587201	1,025
13	1996	5.476581910	1,291
10	1996	5.479594857	1,600
07	2005	5.480818112	5,609
03	2004	5.487119335	11,896
07	1996	5.492419263	2,298
03	2009	5.494903260	58,381
08	2007	5.505085623	26,487
03	2011	5.535764258	86,042
03	2006	5.558362878	7,933
05	1994	5.573351719	2,325
03	1999	5.573444509	27,690
05	1993	5.579409458	1,949
07	2010	5.580554205	54,273
05	2000	5.585711119	16,115
05	1989	5.612680278	623
05	1981	5.636684201	403
05	1984	5.651413524	437
07	1984	5.670769106	137
05	2003	5.797021212	15,232
07	2011	5.799442522	48,708
10	1989	5.800902560	53
05	2002	5.806334497	12,041
05	1987	5.818777541	700
05	1988	5.825471714	808
05	1990	5.845343256	882
15	1988	5.845603331	39
05	1992	5.849867767	1,096
08	1988	5.857207978	215
05	1997	5.903539697	6,044
12	1982	5.905253520	235
05	1983	5.936507781	383
08	1985	5.981677691	144
05	1991	5.988980593	973
